run_name,map,episode,return,success,epsilon,alpha,gamma,seed,timestamp
8x8_ref,8x8,100,0.0,0,0.9516933769307996,0.8,0.99,42,2025-11-20T17:55:01.944865
8x8_ref,8x8,101,0.0,0,0.9512175302423342,0.8,0.99,42,2025-11-20T17:55:01.944867
8x8_ref,8x8,102,0.0,0,0.9507419214772131,0.8,0.99,42,2025-11-20T17:55:01.944870
8x8_ref,8x8,103,0.0,0,0.9502665505164746,0.8,0.99,42,2025-11-20T17:55:01.944872
8x8_ref,8x8,104,0.0,0,0.9497914172412164,0.8,0.99,42,2025-11-20T17:55:01.944908
8x8_ref,8x8,105,0.0,0,0.9493165215325958,0.8,0.99,42,2025-11-20T17:55:01.944912
8x8_ref,8x8,106,0.0,0,0.9488418632718296,0.8,0.99,42,2025-11-20T17:55:01.944914
8x8_ref,8x8,107,0.0,0,0.9483674423401937,0.8,0.99,42,2025-11-20T17:55:01.944916
8x8_ref,8x8,108,0.0,0,0.9478932586190236,0.8,0.99,42,2025-11-20T17:55:01.944919
8x8_ref,8x8,109,0.0,0,0.9474193119897142,0.8,0.99,42,2025-11-20T17:55:01.944921
8x8_ref,8x8,110,0.0,0,0.9469456023337194,0.8,0.99,42,2025-11-20T17:55:01.944924
8x8_ref,8x8,111,0.0,0,0.9464721295325526,0.8,0.99,42,2025-11-20T17:55:01.944926
8x8_ref,8x8,112,0.0,0,0.9459988934677863,0.8,0.99,42,2025-11-20T17:55:01.944928
8x8_ref,8x8,113,0.0,0,0.9455258940210525,0.8,0.99,42,2025-11-20T17:55:01.944931
8x8_ref,8x8,114,0.0,0,0.9450531310740421,0.8,0.99,42,2025-11-20T17:55:01.944933
8x8_ref,8x8,115,0.0,0,0.9445806045085051,0.8,0.99,42,2025-11-20T17:55:01.944936
8x8_ref,8x8,116,0.0,0,0.9441083142062509,0.8,0.99,42,2025-11-20T17:55:01.944938
8x8_ref,8x8,117,0.0,0,0.9436362600491478,0.8,0.99,42,2025-11-20T17:55:01.944941
8x8_ref,8x8,118,0.0,0,0.9431644419191233,0.8,0.99,42,2025-11-20T17:55:01.944943
8x8_ref,8x8,119,0.0,0,0.9426928596981637,0.8,0.99,42,2025-11-20T17:55:01.944945
8x8_ref,8x8,120,0.0,0,0.9422215132683147,0.8,0.99,42,2025-11-20T17:55:01.944948
8x8_ref,8x8,121,0.0,0,0.9417504025116806,0.8,0.99,42,2025-11-20T17:55:01.944950
8x8_ref,8x8,122,0.0,0,0.9412795273104249,0.8,0.99,42,2025-11-20T17:55:01.944952
8x8_ref,8x8,123,0.0,0,0.9408088875467697,0.8,0.99,42,2025-11-20T17:55:01.944955
8x8_ref,8x8,124,0.0,0,0.9403384831029964,0.8,0.99,42,2025-11-20T17:55:01.944957
8x8_ref,8x8,125,0.0,0,0.9398683138614449,0.8,0.99,42,2025-11-20T17:55:01.944960
8x8_ref,8x8,126,0.0,0,0.9393983797045142,0.8,0.99,42,2025-11-20T17:55:01.944962
8x8_ref,8x8,127,0.0,0,0.938928680514662,0.8,0.99,42,2025-11-20T17:55:01.944964
8x8_ref,8x8,128,0.0,0,0.9384592161744048,0.8,0.99,42,2025-11-20T17:55:01.944967
8x8_ref,8x8,129,0.0,0,0.9379899865663176,0.8,0.99,42,2025-11-20T17:55:01.944969
