func,n,run,best_f,best_x_json,evals,success,time_s
sphere,10,17,7.093127471359449e-09,"[-3.196962589337746e-05, -3.2040695839920336e-05, -4.853521051230603e-05, 4.2619525655681234e-06, 3.9237542747366924e-05, 1.4320885945300912e-07, -3.1452926253021016e-05, 7.360641368896656e-06, -3.3065005425563152e-06, -8.753832065978129e-06]",4440,1,0.0051190853118896484
sphere,10,18,5.3212873361524886e-09,"[-2.0890892182464827e-05, 1.7278528495187425e-05, -1.3867873665843427e-06, 1.3135081960799796e-05, -2.1993978572881735e-05, -1.9577688991445717e-05, 3.718205825904844e-05, -2.1030327339723043e-05, 4.146934703398849e-05, -5.907522038617856e-07]",4440,1,0.0049779415130615234
sphere,10,19,8.48729194779945e-09,"[-1.6262600744593205e-05, 3.666334173144022e-05, 3.083409565535951e-05, 4.8776289105478376e-05, -2.861929346773281e-05, -1.960983539407009e-05, -1.1079655050591183e-05, 1.58891865397884e-05, -3.7751117907636554e-05, -2.3340304049704956e-05]",5220,1,0.005763053894042969
sphere,10,20,7.702451114444203e-09,"[5.736294159786641e-06, 2.1823215697990896e-05, -8.46895601250183e-07, -2.1167666274366807e-05, -5.289051092402569e-06, -3.190709968636299e-05, 3.69091135763427e-05, -6.452649293843414e-05, -1.3130999941166416e-05, 3.07872472887257e-07]",4320,1,0.0048351287841796875
sphere,10,21,9.761669578943066e-09,"[-2.9739612954875978e-05, 2.9227534454869233e-05, 1.7279486454725336e-05, -2.1924582705845427e-05, 6.109753976868221e-05, 3.2399974218847252e-06, 3.602852351793941e-05, 4.4268522052694684e-05, -7.2986757312614565e-06, -1.3757691770057965e-05]",4860,1,0.005452871322631836
sphere,10,22,9.548790506799144e-09,"[-3.259503499165815e-05, 4.275732590342995e-06, 2.297021695596214e-05, -6.761107857795867e-05, -2.7188767926821482e-05, 1.4732703044837152e-05, 3.0043277769841996e-05, -2.878601725308109e-05, 2.161221652643356e-05, -1.4648570783759334e-05]",4380,1,0.004827976226806641
sphere,10,23,9.724925497832946e-09,"[-2.9736581292355486e-05, 2.7411791846918174e-05, 1.123993281305517e-05, -3.708787438787094e-05, -2.9463340424967904e-05, 2.7413840818727093e-05, 5.150100441739776e-05, 2.5402540192851813e-05, 4.08439822955629e-05, 1.3884851177579569e-06]",4560,1,0.005077838897705078
sphere,10,24,7.366666168830145e-09,"[-2.029678906291519e-05, -9.070778565546228e-06, 7.400560071788557e-06, 3.88731668776126e-05, 8.268220750392219e-06, -3.2944706378768055e-05, 4.028879675851481e-05, 1.4241601342945326e-05, 3.055788784503969e-05, -3.7323237948212005e-05]",4710,1,0.00521397590637207
sphere,10,25,7.78790721065898e-09,"[-5.6335253040839796e-05, -1.2496549959586047e-05, -2.5223512739292087e-05, 2.687759248661719e-05, 2.9747642181537895e-05, 2.335813767782971e-05, -7.219293145387078e-06, 2.7146218898820024e-05, -2.6367953801552225e-05, -1.358760276742994e-05]",4920,1,0.005580902099609375
sphere,10,26,9.289139099850116e-09,"[-2.2930298181154456e-05, 3.155511391418953e-05, -1.133891435379696e-05, -6.170917679278538e-05, -2.2544663933622588e-05, -1.6622277416928362e-05, -3.89377635778969e-05, 2.1952957962497057e-05, -2.5867066546212942e-05, 1.9474930706092978e-05]",4410,1,0.004857778549194336
sphere,10,27,7.395140890889715e-09,"[-1.83223622390629e-05, -9.87124913605504e-06, -1.2412036389554905e-05, -2.6756140152887654e-05, -5.338855830916984e-05, -2.835339806981591e-05, -1.2600716265105422e-05, 3.8031642993914706e-05, -1.854889505831546e-05, -2.2102984473049454e-05]",4920,1,0.005411863327026367
sphere,10,28,5.808727885062321e-09,"[7.5839189320371585e-06, 4.0055297559816246e-05, -7.61619302171202e-06, 2.4834384113878847e-05, -2.5566764641755558e-05, -9.675171925262626e-06, -1.2570760761770369e-05, 9.801056042960183e-06, -2.7645210239783855e-05, -4.1308853587463073e-05]",4500,1,0.005210161209106445
sphere,10,29,6.803245514846963e-09,"[1.9949255399336454e-05, -6.065990567433672e-06, 2.3349719753353458e-05, 2.6629091421702035e-05, 1.8041107119235315e-05, 4.421897889916414e-06, -1.569033992179276e-05, 6.580544216306271e-06, 2.0201563231149777e-05, 6.380854446487889e-05]",5010,1,0.0055849552154541016
sphere,30,0,3.036731554972123e-07,"[-3.60721165189103e-05, 1.841356997473656e-05, -0.0001300827528322133, 2.3535211828192876e-05, 9.063483833969001e-06, 0.000156828233780179, -8.42906467570164e-05, -0.00012713082240444688, 7.341337530726543e-06, 0.00013327318193764789, -4.848711906555792e-05, 0.00010761420175687891, -3.5217098630894195e-05, 9.507819625681085e-05, 2.3473063187622937e-05, -3.9759580435175235e-05, -0.00012505214806499967, 0.00015606203261614803, -9.746488267247649e-05, 7.362452189145201e-05, 5.260257755073125e-06, 6.132114462329642e-05, 0.00011640082765243987, 4.7410700869846794e-05, 7.451000023001917e-05, 0.00010787490644880002, -0.00021226415196948473, 0.00023278263690487482, -1.9532893866905544e-06, -3.897525088520375e-05]",15050,0,0.01865410804748535
sphere,30,1,1.5847212336155216e-07,"[7.226526276655874e-05, -0.00013269228173006553, -0.00011642398878612301, -7.632796772815728e-05, -5.304046661322558e-05, -3.040639782300839e-05, -4.692652753150201e-05, -8.974364658964902e-06, 7.9535375916381e-05, -8.768520303551862e-06, 2.8831483398136158e-05, 0.00016615863562978667, 5.121483465295711e-05, -5.664699302289861e-05, 1.4600988771171374e-05, 9.387261932182551e-06, -9.221537866736912e-05, 0.0001724980366768232, 4.54670299371656e-05, -3.904142667510413e-05, 4.217896638934058e-05, 6.52804758801479e-05, -9.586127515506157e-05, 3.349921195059035e-05, 7.934745488396238e-05, -2.418870692866821e-06, -6.096607514628248e-05, -1.2584500550344256e-05, 1.782596716868966e-05, 2.3832434911772494e-05]",15050,0,0.019694089889526367
sphere,30,2,3.197148853300992e-07,"[-2.631987408446032e-05, -2.443684349415943e-05, -3.595878494312919e-05, -1.642406213881708e-05, 0.0001264123277257121, 9.862408362723227e-06, 2.1684122362180942e-05, -4.549500518462998e-05, 6.481105152028869e-05, 9.993010940350335e-05, -1.8448989565937704e-05, 1.2203492312120342e-05, -4.9886135945923555e-06, 4.367760483744946e-05, -8.256221675222717e-05, -5.958335641515971e-05, -5.609702036632255e-05, 2.0090348302932048e-06, 0.00010127423569598048, -4.0706349024631e-05, -0.00011164432878215581, -0.0003334592056366145, 3.165887940577482e-05, -0.00013810233492997826, 3.17817967595192e-05, -1.091042038387806e-05, 5.159507392725422e-05, -5.815687688332625e-05, 0.0003216259828650124, 4.3065844797691134e-05]",15050,0,0.018802881240844727
sphere,30,3,1.444620062235057e-06,"[0.00030970157466022485, -0.0003352566387310596, -0.00033344737043587404, -0.00015995590762561294, -0.0003215698062723441, -0.00026932980229176016, 0.00012157631716328988, -0.0001407561522369163, -9.129240606912451e-05, -0.000343805882097582, -0.0001837496115613114, 4.688133812857524e-05, -5.223834373944046e-05, -0.0001422771091391273, -7.825091433738844e-05, 5.628926167736321e-05, 0.00010350956970115333, 0.00016457525340250897, 2.506616011528108e-05, 0.0005446912458020189, 0.00023026791076022566, 0.00038156996855140065, 5.303482903661386e-05, -3.2598526766588034e-06, 7.309622191284077e-05, -0.00015265164904688678, 0.00029463002562694316, 2.4578231358110222e-05, -0.00011987349932226952, -0.00016507491143632596]",15050,0,0.01863574981689453
sphere,30,4,5.207033873368004e-07,"[-6.794646936960784e-05, -0.00011098325246014905, -6.934149319647326e-05, 2.6942155634784862e-05, -3.170528006425207e-05, 6.525926591842696e-05, -0.0005416790781789452, -1.358373087965928e-05, 8.489933669822807e-05, 0.00012955881165776606, 9.48647587335096e-05, 1.5736275198235185e-06, 0.00013600607382788091, 5.588006816412987e-05, -5.063971033459315e-05, -0.00013623084933812472, -9.365244300678541e-05, 4.7902064050743757e-05, 1.282730703658087e-05, -2.343104123368663e-05, 0.00013402193427932796, 0.00017636878209668927, 3.8553409378115156e-05, -0.00019943055046066523, 7.063103651942328e-05, -2.0855474502920045e-05, -7.955546267298026e-05, 1.52610995382009e-05, -7.468818857743158e-06, -9.738970070820131e-05]",15050,0,0.018284082412719727
sphere,30,5,1.7176491367621324e-05,"[-0.0003448567404425047, -0.00014878245512871415, -0.00011092090765716837, 0.00040835241963446873, -0.0005826988624089828, -0.00011483250933546209, 0.00032861562581842723, -0.0002594281295944104, -0.0002235273623426065, 0.0002996794278985583, -0.00033486285754268574, 2.5085864369827065e-05, -0.0007727542802688052, 0.0008647391183489679, 0.00039542784625676655, 0.002791607906915539, -0.00040393485510769114, 0.0014709027997122784, -0.0008858118775322645, -6.863417349477978e-05, -0.0006807015150516627, 2.3448747045251095e-05, -0.0001909407163459474, 0.0009175029567055012, 0.0005577214391017131, -0.00039951672986103916, 0.0001712170157536883, -0.0007877127352981712, -0.00012844952901718075, -0.0010891390165015389]",15050,0,0.018164873123168945
sphere,30,6,1.3830116181424285e-05,"[7.847105340694671e-06, 0.0003572761065008665, 0.0004772350526920321, -0.0003559936819975963, -0.00021096177578328653, -0.00013282889331793122, -0.000261171438369579, 0.0004053210953051156, 0.0003301881807651913, -0.0001916782492421274, -5.154563429634435e-06, 0.0003621404757313938, 0.0002660887047614, -0.00046648506546236544, -0.00019165682837157233, 0.00012419517568349703, -0.00044875117397095705, -0.0006293593870994719, 2.0642708243865624e-05, 0.000282114902904324, -0.0004315145763172047, -0.000435474728074563, -0.003265964647268491, -0.0007209121110986882, 0.00011725754888545074, 0.00010609332758940832, -4.1947694852567476e-05, 0.0002816970011702646, -0.00017752451630716713, -0.00024201862823680593]",15050,0,0.018481969833374023
sphere,30,7,4.822233087340667e-06,"[5.972611970522173e-05, 9.778656689144743e-05, 0.00027868762701362473, 0.00023720908869335187, -0.0008997015422198748, 0.0003541924661537179, -0.00017807905379922922, 0.0002858916469194035, -0.0005551974565595279, 6.78742706865391e-05, -0.000288466504565245, -0.0005286499257266706, -0.0001449576489148955, -0.00026038262963658254, -0.00011988064335067354, -5.35547286636125e-05, -0.0001505011546268963, -0.00018734446653497134, 0.0012255122993808378, -5.49145221615969e-05, 0.0001026783608635073, 0.0006295139733883188, -0.00013732960830703812, -0.0007243123907221507, 2.0362907424442288e-05, -9.602252302169775e-05, 0.00018701820020945747, 0.00039293623600671274, -0.00018453747777875284, 0.0003149514467491822]",15050,0,0.018152952194213867
sphere,30,8,8.417361199570059e-07,"[3.971129952600394e-06, 0.00010626613845947132, 0.0001196912460893536, 0.00047794112611292307, -3.936906568309008e-05, 0.00017848409991647247, -6.027459555476436e-05, 9.896359303490618e-05, -1.3689160151414967e-06, -1.0115101461154217e-05, -3.226948295772222e-05, 0.0004461624714657177, 3.612109096052784e-05, -4.703936835854088e-05, -0.00013659685236323466, 1.013254862850892e-05, 0.0002274241242987023, -0.0001515465033293158, 7.247323488079267e-05, -0.00015641169670348146, -0.00023404178782082989, -0.00021743231801938046, 6.849959027861586e-05, -0.00018042220281781619, -1.1282783796101107e-05, -9.88636602240635e-05, 2.3951083746498995e-05, 0.0001056670264759027, -8.150808998970118e-05, 0.00021533623624231808]",15050,0,0.018702030181884766
sphere,30,9,4.57340081826186e-06,"[0.00021361393130137313, 0.00021315938184070617, -0.00042884188796679933, 0.00017059504239165597, 0.00024901103242781786, -0.00019402466627925654, -0.0006618472131901619, 0.0009573020615050221, 2.276303019669936e-05, 2.6727622655488706e-05, 0.00028878942587005386, 0.0007842133979837064, 0.00012304914389526047, -0.00017380507230925577, 8.180132561967997e-06, -0.00012276461384536368, -0.0005349102021003413, -0.0007216274338706802, 5.598531157909077e-05, -0.0005708278054661205, 0.00015589660255271572, -8.060215465254293e-05, -0.00021970276174743217, -0.0002286286524221271, 0.0006620685877697743, -0.00028915586373014934, 3.0035304169155347e-05, -8.714241979410117e-05, -0.00022361646457734182, -0.00045547034685119157]",15050,0,0.018610000610351562
sphere,30,10,3.179538774505647e-05,"[-0.0006194509381809061, -0.001909065866541291, -0.00010085925876390203, 0.0005248125762545992, -3.396474290627509e-05, 0.0028488285457207757, 0.001169235047202777, 3.003087675570548e-05, 0.0024358650695506306, -0.00018238833617987947, -0.0006884963210445585, -0.00046751948989481396, 2.336647778566915e-05, -0.0011685068752397608, -0.0004949892336972191, 0.00023819548336329196, 0.0008727459124820258, 0.0015664754913594745, -0.0004938471827892039, 0.0013659505402256488, -6.947246659871942e-05, -0.0006198433109860964, -0.00037477383694124543, -0.00015174205465576853, -0.0009156910426417797, -0.0007477532876804068, -0.0008105000872352401, -0.0007476136444916266, -0.00012944004195525978, -0.0010777601333605677]",15050,0,0.0186769962310791
